,CUSTOMER_ID,Date,recency,ORDER_ID,PIN_CODE,AGE_GROUP,100205,110401,110411,120103,130206,frequency,recency_cate,frequency_cate,customer
50,20800,2001-02-20,8,758343,115,35-39,1.0,0.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
51,20800,2001-02-20,8,762314,115,35-39,1.0,0.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
52,20879,2001-02-21,7,769192,221,35-39,0.0,2.0,0.0,0.0,0.0,1,0-14 day,0~10 freq,新顧客
53,21128,2001-02-16,12,734303,115,30-34,1.0,0.0,0.0,0.0,0.0,3,0-14 day,0~10 freq,新顧客
54,21234,2000-11-29,91,206843,Unknown,40-44,0.0,0.0,0.0,2.0,0.0,2,>66 day,0~10 freq,流失客
55,21234,2000-11-29,91,208892,Unknown,40-44,0.0,1.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
56,21265,2001-01-06,53,457709,114,50-54,0.0,0.0,0.0,1.0,0.0,1,52- 66day,0~10 freq,流失客
57,21449,2001-01-27,32,585340,115,45-49,0.0,0.0,0.0,1.0,0.0,23,32-46 day,21~30 freq,新顧客
58,21449,2001-01-27,32,586576,115,45-49,0.0,0.0,0.0,1.0,0.0,23,32-46 day,21~30 freq,新顧客
59,21449,2001-01-27,32,589733,115,45-49,0.0,0.0,0.0,1.0,0.0,23,32-46 day,21~30 freq,新顧客
60,21449,2001-01-27,32,590141,115,45-49,0.0,0.0,0.0,1.0,0.0,23,32-46 day,21~30 freq,新顧客
61,21449,2001-01-27,32,590264,115,45-49,0.0,0.0,0.0,1.0,0.0,23,32-46 day,21~30 freq,新顧客
62,21449,2001-01-27,32,590269,115,45-49,0.0,0.0,0.0,1.0,0.0,23,32-46 day,21~30 freq,新顧客
63,21593,2001-02-04,24,673960,115,45-49,0.0,1.0,0.0,0.0,0.0,3,16-31 day,0~10 freq,新顧客
64,21593,2001-02-04,24,677100,115,45-49,0.0,0.0,0.0,0.0,1.0,3,16-31 day,0~10 freq,新顧客
65,21593,2001-02-04,24,678692,115,45-49,0.0,0.0,0.0,0.0,1.0,3,16-31 day,0~10 freq,新顧客
66,21821,2000-12-03,87,279221,Unknown,40-44,0.0,0.0,0.0,2.0,0.0,2,>66 day,0~10 freq,流失客
67,21821,2000-12-03,87,280354,Unknown,40-44,0.0,0.0,0.0,2.0,0.0,2,>66 day,0~10 freq,流失客
68,21951,2001-02-14,14,723394,221,40-44,0.0,0.0,0.0,0.0,2.0,10,0-14 day,0~10 freq,新顧客
69,22040,2001-01-22,37,568349,Unknown,35-39,0.0,0.0,0.0,0.0,1.0,1,32-46 day,0~10 freq,新顧客
70,22149,2000-12-09,81,242305,221,30-34,1.0,0.0,0.0,0.0,0.0,4,>66 day,0~10 freq,流失客
71,22149,2000-12-09,81,242307,221,30-34,1.0,0.0,0.0,0.0,0.0,4,>66 day,0~10 freq,流失客
72,22149,2000-12-09,81,246695,221,30-34,0.0,0.0,0.0,1.0,0.0,4,>66 day,0~10 freq,流失客
73,22149,2000-12-09,81,246699,221,30-34,0.0,0.0,0.0,1.0,0.0,4,>66 day,0~10 freq,流失客
74,22163,2001-01-26,33,587602,110,40-44,0.0,1.0,0.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
75,22163,2001-01-26,33,587603,110,40-44,0.0,0.0,0.0,0.0,1.0,2,32-46 day,0~10 freq,新顧客
76,22736,2001-01-23,36,584178,Unknown,35-39,0.0,1.0,0.0,0.0,0.0,3,32-46 day,0~10 freq,新顧客
77,22934,2001-02-03,25,691804,115,45-49,0.0,1.0,0.0,0.0,0.0,4,16-31 day,0~10 freq,新顧客
78,22996,2000-12-07,83,260883,115,30-34,0.0,2.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
79,22996,2000-12-07,83,261688,115,30-34,0.0,1.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
80,23078,2001-01-20,39,509919,115,30-34,0.0,0.0,0.0,0.0,1.0,7,32-46 day,0~10 freq,新顧客
81,23207,2000-12-19,71,366191,221,50-54,0.0,1.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
82,23207,2000-12-19,71,367316,221,50-54,0.0,1.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
83,23245,2000-11-25,95,184438,115,50-54,1.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
84,23474,2000-11-02,118,4995,221,30-34,0.0,1.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
85,23474,2000-11-02,118,7253,221,30-34,0.0,0.0,0.0,1.0,0.0,2,>66 day,0~10 freq,流失客
86,23672,2000-11-11,109,68813,Unknown,35-39,0.0,1.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
87,23795,2001-01-22,37,559863,115,55-59,1.0,0.0,0.0,0.0,0.0,3,32-46 day,0~10 freq,新顧客
88,23801,2001-01-23,36,582967,115,50-54,1.0,0.0,0.0,0.0,0.0,1,32-46 day,0~10 freq,新顧客
89,23863,2001-02-23,5,766665,115,35-39,1.0,0.0,0.0,0.0,0.0,2,0-14 day,0~10 freq,新顧客
90,23917,2001-02-06,22,667817,221,45-49,0.0,0.0,0.0,0.0,1.0,7,16-31 day,0~10 freq,新顧客
91,23917,2001-02-06,22,672511,221,45-49,0.0,0.0,0.0,2.0,0.0,7,16-31 day,0~10 freq,新顧客
92,24105,2001-01-21,38,544480,Unknown,30-34,1.0,0.0,0.0,0.0,0.0,1,32-46 day,0~10 freq,新顧客
93,24167,2001-01-16,43,408145,114,45-49,0.0,0.0,0.0,1.0,0.0,1,32-46 day,0~10 freq,新顧客
94,24259,2001-02-16,12,732276,115,40-44,0.0,1.0,0.0,0.0,0.0,2,0-14 day,0~10 freq,新顧客
95,24259,2001-02-16,12,734652,115,40-44,0.0,1.0,0.0,0.0,0.0,2,0-14 day,0~10 freq,新顧客
96,24501,2000-12-11,79,215941,221,35-39,1.0,0.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
97,24518,2001-02-20,8,757907,110,35-39,1.0,0.0,0.0,0.0,0.0,2,0-14 day,0~10 freq,新顧客
98,24518,2001-02-20,8,762197,110,35-39,0.0,1.0,0.0,0.0,0.0,2,0-14 day,0~10 freq,新顧客
99,24532,2001-02-26,2,790187,221,45-49,0.0,0.0,0.0,0.0,1.0,10,0-14 day,0~10 freq,新顧客
100,24594,2000-11-14,106,111429,221,45-49,0.0,0.0,0.0,2.0,0.0,4,>66 day,0~10 freq,流失客
101,24594,2000-11-14,106,111962,221,45-49,0.0,0.0,0.0,2.0,0.0,4,>66 day,0~10 freq,流失客
102,24594,2000-11-14,106,112373,221,45-49,0.0,1.0,0.0,0.0,0.0,4,>66 day,0~10 freq,流失客
103,24594,2000-11-14,106,112382,221,45-49,0.0,0.0,0.0,2.0,0.0,4,>66 day,0~10 freq,流失客
104,24662,2000-12-10,80,231342,221,35-39,1.0,0.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
105,24662,2000-12-10,80,232551,221,35-39,0.0,0.0,0.0,1.0,0.0,2,>66 day,0~10 freq,流失客
106,24723,2001-01-06,53,460825,114,40-44,0.0,0.0,0.0,1.0,0.0,2,52- 66day,0~10 freq,流失客
107,24723,2001-01-06,53,463547,114,40-44,0.0,0.0,0.0,1.0,0.0,2,52- 66day,0~10 freq,流失客
108,24907,2001-01-17,42,502463,221,35-39,0.0,0.0,0.0,1.0,0.0,1,32-46 day,0~10 freq,新顧客
109,25058,2001-02-22,6,768518,115,35-39,1.0,0.0,0.0,0.0,0.0,5,0-14 day,0~10 freq,新顧客
110,25058,2001-02-22,6,771106,115,35-39,1.0,0.0,0.0,0.0,0.0,5,0-14 day,0~10 freq,新顧客
111,25058,2001-02-22,6,771502,115,35-39,0.0,0.0,0.0,0.0,1.0,5,0-14 day,0~10 freq,新顧客
112,25362,2000-11-24,96,176396,221,40-44,0.0,0.0,0.0,0.0,1.0,5,>66 day,0~10 freq,流失客
113,25386,2001-01-26,33,591266,115,25-29,1.0,0.0,0.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
114,25386,2001-01-26,33,596818,115,25-29,0.0,0.0,1.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
115,25393,2001-01-23,36,576688,221,35-39,0.0,0.0,1.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
116,25393,2001-01-23,36,577102,221,35-39,0.0,0.0,1.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
117,25423,2001-01-18,41,496906,115,40-44,1.0,0.0,0.0,0.0,0.0,1,32-46 day,0~10 freq,新顧客
118,25553,2000-11-23,97,154188,Unknown,45-49,0.0,0.0,2.0,0.0,0.0,3,>66 day,0~10 freq,流失客
119,25553,2000-11-23,97,157375,Unknown,45-49,0.0,0.0,2.0,0.0,0.0,3,>66 day,0~10 freq,流失客
120,25683,2001-01-31,28,616727,221,40-44,0.0,0.0,0.0,1.0,0.0,17,16-31 day,11~20 freq,新顧客
121,25805,2001-02-25,3,775987,115,30-34,1.0,0.0,0.0,0.0,0.0,3,0-14 day,0~10 freq,新顧客
122,25973,2001-01-22,37,551226,115,40-44,0.0,0.0,3.0,0.0,0.0,10,32-46 day,0~10 freq,新顧客
123,26031,2001-02-27,1,807496,221,35-39,0.0,0.0,1.0,0.0,0.0,3,0-14 day,0~10 freq,新顧客
124,26031,2001-02-27,1,809934,221,35-39,0.0,0.0,1.0,0.0,0.0,3,0-14 day,0~10 freq,新顧客
125,26031,2001-02-27,1,810749,221,35-39,0.0,0.0,1.0,0.0,0.0,3,0-14 day,0~10 freq,新顧客
126,26062,2001-02-22,6,768095,115,40-44,0.0,1.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
127,26192,2001-01-23,36,572407,221,40-44,0.0,0.0,0.0,1.0,0.0,6,32-46 day,0~10 freq,新顧客
128,26192,2001-01-23,36,572735,221,40-44,0.0,1.0,0.0,0.0,0.0,6,32-46 day,0~10 freq,新顧客
129,26192,2001-01-23,36,573941,221,40-44,0.0,1.0,0.0,0.0,0.0,6,32-46 day,0~10 freq,新顧客
130,26192,2001-01-23,36,574650,221,40-44,0.0,1.0,0.0,0.0,0.0,6,32-46 day,0~10 freq,新顧客
131,26192,2001-01-23,36,574658,221,40-44,0.0,1.0,0.0,0.0,0.0,6,32-46 day,0~10 freq,新顧客
132,26192,2001-01-23,36,576292,221,40-44,2.0,0.0,0.0,0.0,0.0,6,32-46 day,0~10 freq,新顧客
133,26307,2000-11-27,93,190387,115,35-39,1.0,0.0,0.0,0.0,0.0,3,>66 day,0~10 freq,流失客
134,26307,2000-11-27,93,190810,115,35-39,0.0,1.0,0.0,0.0,0.0,3,>66 day,0~10 freq,流失客
135,26307,2000-11-27,93,192059,115,35-39,0.0,0.0,0.0,1.0,0.0,3,>66 day,0~10 freq,流失客
136,26321,2001-01-15,44,465828,115,40-44,1.0,0.0,0.0,0.0,0.0,1,32-46 day,0~10 freq,新顧客
137,26468,2000-12-16,74,330318,221,45-49,0.0,1.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
138,26499,2001-02-14,14,700824,115,50-54,0.0,0.0,0.0,1.0,0.0,3,0-14 day,0~10 freq,新顧客
139,26499,2001-02-14,14,720320,115,50-54,0.0,0.0,0.0,1.0,0.0,3,0-14 day,0~10 freq,新顧客
140,26499,2001-02-14,14,723141,115,50-54,0.0,0.0,0.0,1.0,0.0,3,0-14 day,0~10 freq,新顧客
141,26550,2001-02-15,13,716843,221,35-39,0.0,1.0,0.0,0.0,0.0,20,0-14 day,11~20 freq,新顧客
142,26550,2001-02-15,13,720548,221,35-39,0.0,0.0,6.0,0.0,0.0,20,0-14 day,11~20 freq,新顧客
143,26666,2001-01-22,37,548388,Unknown,55-59,0.0,0.0,0.0,0.0,1.0,3,32-46 day,0~10 freq,新顧客
144,26789,2000-11-13,107,91921,115,40-44,0.0,0.0,0.0,0.0,1.0,1,>66 day,0~10 freq,流失客
145,26925,2001-02-11,17,631491,115,45-49,0.0,0.0,0.0,0.0,2.0,4,16-31 day,0~10 freq,新顧客
146,27113,2000-11-26,94,178141,221,50-54,1.0,0.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
147,27113,2000-11-26,94,199833,221,50-54,1.0,0.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
148,27151,2001-01-14,45,409002,115,45-49,0.0,0.0,0.0,1.0,0.0,3,32-46 day,0~10 freq,新顧客
149,27151,2001-01-14,45,429984,115,45-49,0.0,1.0,0.0,0.0,0.0,3,32-46 day,0~10 freq,新顧客
150,27151,2001-01-14,45,431571,115,45-49,0.0,0.0,0.0,1.0,0.0,3,32-46 day,0~10 freq,新顧客
151,27243,2001-02-24,4,785146,115,50-54,0.0,0.0,3.0,0.0,0.0,25,0-14 day,21~30 freq,新顧客
152,27304,2001-01-23,36,577377,115,45-49,1.0,0.0,0.0,0.0,0.0,2,32-46 day,0~10 freq,新顧客
153,27304,2001-01-23,36,577498,115,45-49,0.0,0.0,0.0,0.0,1.0,2,32-46 day,0~10 freq,新顧客
154,27335,2001-02-10,18,646562,115,40-44,1.0,0.0,0.0,0.0,0.0,7,16-31 day,0~10 freq,新顧客
155,27359,2001-02-25,3,800069,221,25-29,0.0,0.0,0.0,0.0,1.0,1,0-14 day,0~10 freq,新顧客
156,27540,2001-02-16,12,731818,221,45-49,1.0,0.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
157,27540,2001-02-16,12,733769,221,45-49,0.0,1.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
158,27540,2001-02-16,12,733788,221,45-49,0.0,0.0,0.0,0.0,1.0,4,0-14 day,0~10 freq,新顧客
159,27540,2001-02-16,12,735320,221,45-49,1.0,0.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
160,27601,2001-02-14,14,699572,114,>65,0.0,1.0,0.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
161,27601,2001-02-14,14,700808,114,>65,1.0,0.0,0.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
162,27601,2001-02-14,14,720763,114,>65,0.0,1.0,0.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
163,27601,2001-02-14,14,721884,114,>65,0.0,0.0,2.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
164,27601,2001-02-14,14,722294,114,>65,0.0,0.0,3.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
165,27601,2001-02-14,14,723084,114,>65,0.0,1.0,0.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
166,27601,2001-02-14,14,723407,114,>65,1.0,0.0,0.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
167,27601,2001-02-14,14,723812,114,>65,1.0,0.0,0.0,0.0,0.0,8,0-14 day,0~10 freq,新顧客
168,27632,2000-12-15,75,323349,115,50-54,0.0,0.0,4.0,0.0,0.0,1,>66 day,0~10 freq,流失客
169,27908,2001-02-25,3,778015,115,35-39,0.0,1.0,0.0,0.0,0.0,3,0-14 day,0~10 freq,新顧客
170,27946,2001-02-08,20,656834,221,50-54,1.0,0.0,0.0,0.0,0.0,1,16-31 day,0~10 freq,新顧客
171,28127,2000-12-14,76,328674,110,45-49,1.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
172,28547,2001-02-03,25,688565,115,40-44,0.0,0.0,0.0,0.0,1.0,4,16-31 day,0~10 freq,新顧客
173,28554,2001-02-15,13,723755,221,30-34,0.0,0.0,0.0,0.0,1.0,1,0-14 day,0~10 freq,新顧客
174,28639,2000-11-26,94,186213,221,30-34,1.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
175,28646,2001-02-28,0,808261,Others,40-44,1.0,0.0,0.0,0.0,0.0,1,0-14 day,0~10 freq,新顧客
176,28714,2000-12-09,81,252279,221,45-49,0.0,0.0,0.0,0.0,1.0,1,>66 day,0~10 freq,流失客
177,28738,2001-02-25,3,777461,115,35-39,0.0,0.0,1.0,0.0,0.0,3,0-14 day,0~10 freq,新顧客
178,28738,2001-02-25,3,795770,115,35-39,0.0,0.0,0.0,2.0,0.0,3,0-14 day,0~10 freq,新顧客
179,28769,2000-12-18,72,366478,221,40-44,1.0,0.0,0.0,0.0,0.0,2,>66 day,0~10 freq,流失客
180,28769,2000-12-18,72,367292,221,40-44,0.0,0.0,1.0,0.0,0.0,2,>66 day,0~10 freq,流失客
181,28844,2001-01-19,40,517693,Unknown,35-39,1.0,0.0,0.0,0.0,0.0,1,32-46 day,0~10 freq,新顧客
182,28899,2000-11-28,92,211034,115,25-29,0.0,0.0,0.0,0.0,1.0,3,>66 day,0~10 freq,流失客
183,28899,2000-11-28,92,214650,115,25-29,0.0,0.0,0.0,0.0,1.0,3,>66 day,0~10 freq,流失客
184,29018,2000-12-17,73,331281,221,25-29,0.0,0.0,0.0,1.0,0.0,4,>66 day,0~10 freq,流失客
185,29018,2000-12-17,73,334163,221,25-29,0.0,0.0,0.0,1.0,0.0,4,>66 day,0~10 freq,流失客
186,29018,2000-12-17,73,335723,221,25-29,0.0,2.0,0.0,0.0,0.0,4,>66 day,0~10 freq,流失客
187,29018,2000-12-17,73,335733,221,25-29,0.0,0.0,0.0,0.0,1.0,4,>66 day,0~10 freq,流失客
188,29223,2000-11-28,92,203066,221,55-59,1.0,0.0,0.0,0.0,0.0,3,>66 day,0~10 freq,流失客
189,29223,2000-11-28,92,206565,221,55-59,1.0,0.0,0.0,0.0,0.0,3,>66 day,0~10 freq,流失客
190,29223,2000-11-28,92,206969,221,55-59,0.0,0.0,0.0,2.0,0.0,3,>66 day,0~10 freq,流失客
191,29254,2000-12-09,81,251943,115,35-39,1.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
192,29421,2001-02-27,1,804904,221,45-49,1.0,0.0,0.0,0.0,0.0,16,0-14 day,11~20 freq,新顧客
193,29421,2001-02-27,1,810512,221,45-49,1.0,0.0,0.0,0.0,0.0,16,0-14 day,11~20 freq,新顧客
194,29599,2000-12-02,88,295476,221,40-44,2.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
195,29964,2001-02-14,14,699165,110,35-39,0.0,1.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
196,29964,2001-02-14,14,701353,110,35-39,0.0,1.0,0.0,0.0,0.0,4,0-14 day,0~10 freq,新顧客
197,30267,2001-01-20,39,526419,115,35-39,1.0,0.0,0.0,0.0,0.0,12,32-46 day,11~20 freq,新顧客
198,30281,2001-02-15,13,712021,115,40-44,1.0,0.0,0.0,0.0,0.0,24,0-14 day,21~30 freq,新顧客
199,30502,2001-02-03,25,679267,115,40-44,0.0,0.0,0.0,1.0,0.0,1,16-31 day,0~10 freq,新顧客
200,30908,2001-02-21,7,749991,221,55-59,0.0,0.0,0.0,0.0,1.0,2,0-14 day,0~10 freq,新顧客
201,30908,2001-02-21,7,755968,221,55-59,0.0,1.0,0.0,0.0,0.0,2,0-14 day,0~10 freq,新顧客
202,30915,2001-02-09,19,636295,105,30-34,1.0,0.0,0.0,0.0,0.0,2,16-31 day,0~10 freq,新顧客
203,30915,2001-02-09,19,639438,105,30-34,1.0,0.0,0.0,0.0,0.0,2,16-31 day,0~10 freq,新顧客
204,32100,2001-02-22,6,769845,115,50-54,0.0,0.0,0.0,0.0,1.0,23,0-14 day,21~30 freq,新顧客
205,32674,2001-01-23,36,572657,221,35-39,0.0,0.0,0.0,4.0,0.0,9,32-46 day,0~10 freq,新顧客
206,32674,2001-01-23,36,575411,221,35-39,0.0,0.0,0.0,2.0,0.0,9,32-46 day,0~10 freq,新顧客
207,32827,2001-02-26,2,805547,115,45-49,1.0,0.0,0.0,0.0,0.0,13,0-14 day,11~20 freq,新顧客
208,32827,2001-02-26,2,807896,115,45-49,1.0,0.0,0.0,0.0,0.0,13,0-14 day,11~20 freq,新顧客
209,32896,2001-02-06,22,670162,115,45-49,0.0,0.0,0.0,0.0,1.0,2,16-31 day,0~10 freq,新顧客
210,33107,2000-11-09,111,51858,Unknown,60-64,1.0,0.0,0.0,0.0,0.0,1,>66 day,0~10 freq,流失客
211,33169,2001-02-07,21,649175,115,60-64,1.0,0.0,0.0,0.0,0.0,2,16-31 day,0~10 freq,新顧客
212,33268,2001-02-22,6,769018,Unknown,35-39,0.0,0.0,0.0,0.0,1.0,5,0-14 day,0~10 freq,新顧客
213,33510,2001-02-08,20,655149,110,40-44,0.0,0.0,2.0,0.0,0.0,4,16-31 day,0~10 freq,新顧客
214,33510,2001-02-08,20,655601,110,40-44,0.0,0.0,1.0,0.0,0.0,4,16-31 day,0~10 freq,新顧客
215,33770,2000-12-15,75,318229,115,50-54,2.0,0.0,0.0,0.0,0.0,3,>66 day,0~10 freq,流失客
216,33770,2000-12-15,75,320159,115,50-54,0.0,0.0,0.0,0.0,2.0,3,>66 day,0~10 freq,流失客
217,33770,2000-12-15,75,322641,115,50-54,2.0,0.0,0.0,0.0,0.0,3,>66 day,0~10 freq,流失客
218,34258,2000-11-18,102,114425,105,30-34,0.0,0.0,1.0,0.0,0.0,8,>66 day,0~10 freq,流失客
219,34258,2000-11-18,102,115149,105,30-34,0.0,1.0,0.0,0.0,0.0,8,>66 day,0~10 freq,流失客
220,34258,2000-11-18,102,116777,105,30-34,0.0,0.0,0.0,1.0,0.0,8,>66 day,0~10 freq,流失客
