,CUSTOMER_ID,weighted_average,back_probability,percentage
5775,1606683,1.0,good,66.66666666666666
5765,1605518,1.0,good,66.66666666666666
5794,1607659,1.0,good,66.66666666666666
5755,1604474,1.0,good,66.66666666666666
5754,1604467,1.0,good,66.66666666666666
5753,1604306,1.0,good,66.66666666666666
5752,1604283,1.0,good,66.66666666666666
5751,1604276,1.0,good,66.66666666666666
5743,1603309,1.0,good,66.66666666666666
5742,1603231,1.0,good,66.66666666666666
5737,1602982,1.0,good,66.66666666666666
5734,1602555,1.0,good,66.66666666666666
5733,1601848,1.0,good,66.66666666666666
5793,1607635,1.0,good,66.66666666666666
5795,1607703,1.0,good,66.66666666666666
6181,1640526,1.0,good,66.66666666666666
5854,1613209,1.0,good,66.66666666666666
5882,1616804,1.0,good,66.66666666666666
5877,1616279,1.0,good,66.66666666666666
5876,1616163,1.0,good,66.66666666666666
5871,1615654,1.0,good,66.66666666666666
5867,1615210,1.0,good,66.66666666666666
5866,1615029,1.0,good,66.66666666666666
5864,1614770,1.0,good,66.66666666666666
5859,1614213,1.0,good,66.66666666666666
5857,1613858,1.0,good,66.66666666666666
5856,1613803,1.0,good,66.66666666666666
5852,1613117,1.0,good,66.66666666666666
5796,1607710,1.0,good,66.66666666666666
5851,1613070,1.0,good,66.66666666666666
5848,1612912,1.0,good,66.66666666666666
5839,1612134,1.0,good,66.66666666666666
5832,1611632,1.0,good,66.66666666666666
5831,1611618,1.0,good,66.66666666666666
5826,1611069,1.0,good,66.66666666666666
5825,1611052,1.0,good,66.66666666666666
5824,1610758,1.0,good,66.66666666666666
5823,1610666,1.0,good,66.66666666666666
5801,1608168,1.0,good,66.66666666666666
5732,1601824,1.0,good,66.66666666666666
5731,1601817,1.0,good,66.66666666666666
5729,1601206,1.0,good,66.66666666666666
5633,1592665,1.0,good,66.66666666666666
5655,1594751,1.0,good,66.66666666666666
5650,1594331,1.0,good,66.66666666666666
5649,1594300,1.0,good,66.66666666666666
5646,1593815,1.0,good,66.66666666666666
5644,1593655,1.0,good,66.66666666666666
5643,1593570,1.0,good,66.66666666666666
5640,1593389,1.0,good,66.66666666666666
5639,1593273,1.0,good,66.66666666666666
5636,1593020,1.0,good,66.66666666666666
5635,1592917,1.0,good,66.66666666666666
5627,1592160,1.0,good,66.66666666666666
5726,1600957,1.0,good,66.66666666666666
5623,1591446,1.0,good,66.66666666666666
5622,1591422,1.0,good,66.66666666666666
5619,1590890,1.0,good,66.66666666666666
5618,1590593,1.0,good,66.66666666666666
5617,1590487,1.0,good,66.66666666666666
5615,1590104,1.0,good,66.66666666666666
5611,1589726,1.0,good,66.66666666666666
5610,1589689,1.0,good,66.66666666666666
5607,1589443,1.0,good,66.66666666666666
5603,1588934,1.0,good,66.66666666666666
5661,1595284,1.0,good,66.66666666666666
5662,1595406,1.0,good,66.66666666666666
5665,1595550,1.0,good,66.66666666666666
5668,1596359,1.0,good,66.66666666666666
5725,1600933,1.0,good,66.66666666666666
5722,1600810,1.0,good,66.66666666666666
5719,1600483,1.0,good,66.66666666666666
5718,1600476,1.0,good,66.66666666666666
5717,1600469,1.0,good,66.66666666666666
5713,1600308,1.0,good,66.66666666666666
5706,1599701,1.0,good,66.66666666666666
5705,1599695,1.0,good,66.66666666666666
5704,1599541,1.0,good,66.66666666666666
5702,1599435,1.0,good,66.66666666666666
5701,1599374,1.0,good,66.66666666666666
5700,1599312,1.0,good,66.66666666666666
5694,1598247,1.0,good,66.66666666666666
5692,1598155,1.0,good,66.66666666666666
5691,1598124,1.0,good,66.66666666666666
5689,1598087,1.0,good,66.66666666666666
5686,1597929,1.0,good,66.66666666666666
5684,1597813,1.0,good,66.66666666666666
5682,1597684,1.0,good,66.66666666666666
5680,1597585,1.0,good,66.66666666666666
5679,1597516,1.0,good,66.66666666666666
5886,1617030,1.0,good,66.66666666666666
5890,1617320,1.0,good,66.66666666666666
5892,1617481,1.0,good,66.66666666666666
6080,1633207,1.0,good,66.66666666666666
6105,1635027,1.0,good,66.66666666666666
6104,1635003,1.0,good,66.66666666666666
6101,1634570,1.0,good,66.66666666666666
6100,1634525,1.0,good,66.66666666666666
6094,1634129,1.0,good,66.66666666666666
6091,1634006,1.0,good,66.66666666666666
6089,1633801,1.0,good,66.66666666666666
6088,1633788,1.0,good,66.66666666666666
6085,1633450,1.0,good,66.66666666666666
6083,1633351,1.0,good,66.66666666666666
6077,1632910,1.0,good,66.66666666666666
6047,1630008,1.0,good,66.66666666666666
6076,1632897,1.0,good,66.66666666666666
6074,1632743,1.0,good,66.66666666666666
6071,1632507,1.0,good,66.66666666666666
6070,1632460,1.0,good,66.66666666666666
6066,1631531,1.0,good,66.66666666666666
6065,1631524,1.0,good,66.66666666666666
6062,1631197,1.0,good,66.66666666666666
6061,1631180,1.0,good,66.66666666666666
6057,1630886,1.0,good,66.66666666666666
6049,1630121,1.0,good,66.66666666666666
6113,1635331,1.0,good,66.66666666666666
6115,1635478,1.0,good,66.66666666666666
6116,1635485,1.0,good,66.66666666666666
6117,1635515,1.0,good,66.66666666666666
6177,1640120,1.0,good,66.66666666666666
6175,1640038,1.0,good,66.66666666666666
6174,1639995,1.0,good,66.66666666666666
6173,1639872,1.0,good,66.66666666666666
6167,1639049,1.0,good,66.66666666666666
6162,1638615,1.0,good,66.66666666666666
6161,1638301,1.0,good,66.66666666666666
6151,1637489,1.0,good,66.66666666666666
6146,1637106,1.0,good,66.66666666666666
6143,1637045,1.0,good,66.66666666666666
6142,1637038,1.0,good,66.66666666666666
6138,1636734,1.0,good,66.66666666666666
6137,1636642,1.0,good,66.66666666666666
6136,1636482,1.0,good,66.66666666666666
6133,1636321,1.0,good,66.66666666666666
6129,1636154,1.0,good,66.66666666666666
6128,1636130,1.0,good,66.66666666666666
6124,1635911,1.0,good,66.66666666666666
6123,1635768,1.0,good,66.66666666666666
6121,1635720,1.0,good,66.66666666666666
6120,1635713,1.0,good,66.66666666666666
6048,1630015,1.0,good,66.66666666666666
6044,1629866,1.0,good,66.66666666666666
5896,1617955,1.0,good,66.66666666666666
5947,1621778,1.0,good,66.66666666666666
5970,1623871,1.0,good,66.66666666666666
5968,1623499,1.0,good,66.66666666666666
5967,1623314,1.0,good,66.66666666666666
5960,1622805,1.0,good,66.66666666666666
5958,1622652,1.0,good,66.66666666666666
5957,1622584,1.0,good,66.66666666666666
5955,1622362,1.0,good,66.66666666666666
5954,1622355,1.0,good,66.66666666666666
5951,1622225,1.0,good,66.66666666666666
5950,1621969,1.0,good,66.66666666666666
5946,1621747,1.0,good,66.66666666666666
6038,1629217,1.0,good,66.66666666666666
5945,1621686,1.0,good,66.66666666666666
5942,1621532,1.0,good,66.66666666666666
5937,1621334,1.0,good,66.66666666666666
5931,1620733,1.0,good,66.66666666666666
5921,1619966,1.0,good,66.66666666666666
5919,1619850,1.0,good,66.66666666666666
5918,1619775,1.0,good,66.66666666666666
5912,1619218,1.0,good,66.66666666666666
5901,1618266,1.0,good,66.66666666666666
5897,1618037,1.0,good,66.66666666666666
5972,1624045,1.0,good,66.66666666666666
5978,1624434,1.0,good,66.66666666666666
5979,1624519,1.0,good,66.66666666666666
5980,1624618,1.0,good,66.66666666666666
6037,1629194,1.0,good,66.66666666666666
6036,1629187,1.0,good,66.66666666666666
6034,1629095,1.0,good,66.66666666666666
6033,1629002,1.0,good,66.66666666666666
6032,1628937,1.0,good,66.66666666666666
6031,1628876,1.0,good,66.66666666666666
6029,1628708,1.0,good,66.66666666666666
6024,1628012,1.0,good,66.66666666666666
6019,1627725,1.0,good,66.66666666666666
6015,1627428,1.0,good,66.66666666666666
6014,1627381,1.0,good,66.66666666666666
6009,1626681,1.0,good,66.66666666666666
6008,1626629,1.0,good,66.66666666666666
6005,1626452,1.0,good,66.66666666666666
5999,1625998,1.0,good,66.66666666666666
5995,1625608,1.0,good,66.66666666666666
5989,1624960,1.0,good,66.66666666666666
5988,1624922,1.0,good,66.66666666666666
5987,1624830,1.0,good,66.66666666666666
5986,1624823,1.0,good,66.66666666666666
5982,1624670,1.0,good,66.66666666666666
6773,1693409,1.0,good,66.66666666666666
6780,1693782,1.0,good,66.66666666666666
6777,1693720,1.0,good,66.66666666666666
7540,1761252,1.0,good,66.66666666666666
7567,1763508,1.0,good,66.66666666666666
7561,1762945,1.0,good,66.66666666666666
7560,1762877,1.0,good,66.66666666666666
7556,1762389,1.0,good,66.66666666666666
7552,1762242,1.0,good,66.66666666666666
7546,1761771,1.0,good,66.66666666666666
7545,1761733,1.0,good,66.66666666666666
7543,1761382,1.0,good,66.66666666666666
7542,1761375,1.0,good,66.66666666666666
7541,1761351,1.0,good,66.66666666666666
7539,1761245,1.0,good,66.66666666666666
7502,1757774,1.0,good,66.66666666666666
7538,1761221,1.0,good,66.66666666666666
7537,1761092,1.0,good,66.66666666666666
7536,1761023,1.0,good,66.66666666666666
7533,1760514,1.0,good,66.66666666666666
7532,1760484,1.0,good,66.66666666666666
7528,1760187,1.0,good,66.66666666666666
7526,1760026,1.0,good,66.66666666666666
7525,1759921,1.0,good,66.66666666666666
7524,1759860,1.0,good,66.66666666666666
7517,1759150,1.0,good,66.66666666666666
7570,1763850,1.0,good,66.66666666666666
7572,1764161,1.0,good,66.66666666666666
7574,1764260,1.0,good,66.66666666666666
7576,1764383,1.0,good,66.66666666666666
7632,1768084,1.0,good,66.66666666666666
7628,1767957,1.0,good,66.66666666666666
7627,1767704,1.0,good,66.66666666666666
7620,1767001,1.0,good,66.66666666666666
7618,1766875,1.0,good,66.66666666666666
7615,1766585,1.0,good,66.66666666666666
7614,1766523,1.0,good,66.66666666666666
7611,1766233,1.0,good,66.66666666666666
7607,1766028,1.0,good,66.66666666666666
7602,1765717,1.0,good,66.66666666666666
7601,1765700,1.0,good,66.66666666666666
7600,1765687,1.0,good,66.66666666666666
7598,1765571,1.0,good,66.66666666666666
7596,1765533,1.0,good,66.66666666666666
7593,1765441,1.0,good,66.66666666666666
7592,1765403,1.0,good,66.66666666666666
7588,1765090,1.0,good,66.66666666666666
7586,1765076,1.0,good,66.66666666666666
7585,1764987,1.0,good,66.66666666666666
7579,1764659,1.0,good,66.66666666666666
7577,1764468,1.0,good,66.66666666666666
7509,1758313,1.0,good,66.66666666666666
7501,1757590,1.0,good,66.66666666666666
7636,1768336,1.0,good,66.66666666666666
7397,1749120,1.0,good,66.66666666666666
7438,1751970,1.0,good,66.66666666666666
7436,1751857,1.0,good,66.66666666666666
7428,1751246,1.0,good,66.66666666666666
7418,1750676,1.0,good,66.66666666666666
7414,1750492,1.0,good,66.66666666666666
7413,1750430,1.0,good,66.66666666666666
7412,1750348,1.0,good,66.66666666666666
7410,1750300,1.0,good,66.66666666666666
7407,1749786,1.0,good,66.66666666666666
7405,1749731,1.0,good,66.66666666666666
7394,1748635,1.0,good,66.66666666666666
7500,1757552,1.0,good,66.66666666666666
7392,1748338,1.0,good,66.66666666666666
7389,1747980,1.0,good,66.66666666666666
7388,1747904,1.0,good,66.66666666666666
7386,1747775,1.0,good,66.66666666666666
7377,1747300,1.0,good,66.66666666666666
7372,1747065,1.0,good,66.66666666666666
7371,1746907,1.0,good,66.66666666666666
7370,1746884,1.0,good,66.66666666666666
7367,1746808,1.0,good,66.66666666666666
7364,1746631,1.0,good,66.66666666666666
7440,1752021,1.0,good,66.66666666666666
7449,1752328,1.0,good,66.66666666666666
7451,1752380,1.0,good,66.66666666666666
7453,1752403,1.0,good,66.66666666666666
7499,1757415,1.0,good,66.66666666666666
7498,1757194,1.0,good,66.66666666666666
7497,1756999,1.0,good,66.66666666666666
7494,1756838,1.0,good,66.66666666666666
7492,1756647,1.0,good,66.66666666666666
7489,1756012,1.0,good,66.66666666666666
7488,1755909,1.0,good,66.66666666666666
7486,1755817,1.0,good,66.66666666666666
7485,1755787,1.0,good,66.66666666666666
7484,1755770,1.0,good,66.66666666666666
7483,1755640,1.0,good,66.66666666666666
7479,1755169,1.0,good,66.66666666666666
7477,1755060,1.0,good,66.66666666666666
7474,1754582,1.0,good,66.66666666666666
7471,1754209,1.0,good,66.66666666666666
7469,1754056,1.0,good,66.66666666666666
7466,1753776,1.0,good,66.66666666666666
7462,1753202,1.0,good,66.66666666666666
7461,1753134,1.0,good,66.66666666666666
7460,1753066,1.0,good,66.66666666666666
7454,1752434,1.0,good,66.66666666666666
7635,1768213,1.0,good,66.66666666666666
7640,1768572,1.0,good,66.66666666666666
7358,1745832,1.0,good,66.66666666666666
7787,1785302,1.0,good,66.66666666666666
7804,1786439,1.0,good,66.66666666666666
7801,1786156,1.0,good,66.66666666666666
7800,1786149,1.0,good,66.66666666666666
7797,1785975,1.0,good,66.66666666666666
7796,1785968,1.0,good,66.66666666666666
7794,1785807,1.0,good,66.66666666666666
7793,1785777,1.0,good,66.66666666666666
7792,1785760,1.0,good,66.66666666666666
7791,1785494,1.0,good,66.66666666666666
7789,1785432,1.0,good,66.66666666666666
7785,1785265,1.0,good,66.66666666666666
7759,1782530,1.0,good,66.66666666666666
7780,1784763,1.0,good,66.66666666666666
7779,1784411,1.0,good,66.66666666666666
7776,1784121,1.0,good,66.66666666666666
7772,1783650,1.0,good,66.66666666666666
7771,1783643,1.0,good,66.66666666666666
7769,1783445,1.0,good,66.66666666666666
7768,1783322,1.0,good,66.66666666666666
7766,1783148,1.0,good,66.66666666666666
7764,1783032,1.0,good,66.66666666666666
7763,1783018,1.0,good,66.66666666666666
7805,1786484,1.0,good,66.66666666666666
7812,1787368,1.0,good,66.66666666666666
7817,1788648,1.0,good,66.66666666666666
7818,1789003,1.0,good,66.66666666666666
7880,1798289,1.0,good,66.66666666666666
7867,1797077,1.0,good,66.66666666666666
7862,1796117,1.0,good,66.66666666666666
7860,1796049,1.0,good,66.66666666666666
7857,1795202,1.0,good,66.66666666666666
7849,1794762,1.0,good,66.66666666666666
7848,1794717,1.0,good,66.66666666666666
7846,1794403,1.0,good,66.66666666666666
7845,1794151,1.0,good,66.66666666666666
7844,1793857,1.0,good,66.66666666666666
7840,1793062,1.0,good,66.66666666666666
7839,1792898,1.0,good,66.66666666666666
7838,1792560,1.0,good,66.66666666666666
7837,1792102,1.0,good,66.66666666666666
7835,1792089,1.0,good,66.66666666666666
7834,1792010,1.0,good,66.66666666666666
7833,1791884,1.0,good,66.66666666666666
7828,1790825,1.0,good,66.66666666666666
7826,1790771,1.0,good,66.66666666666666
7825,1790566,1.0,good,66.66666666666666
7821,1789492,1.0,good,66.66666666666666
7760,1782684,1.0,good,66.66666666666666
7757,1782417,1.0,good,66.66666666666666
7641,1768657,1.0,good,66.66666666666666
7661,1770421,1.0,good,66.66666666666666
7679,1771909,1.0,good,66.66666666666666
7678,1771770,1.0,good,66.66666666666666
7677,1771763,1.0,good,66.66666666666666
7675,1771572,1.0,good,66.66666666666666
7674,1771381,1.0,good,66.66666666666666
7673,1771350,1.0,good,66.66666666666666
7671,1770940,1.0,good,66.66666666666666
7669,1770865,1.0,good,66.66666666666666
7666,1770711,1.0,good,66.66666666666666
7664,1770629,1.0,good,66.66666666666666
7660,1770353,1.0,good,66.66666666666666
7753,1781991,1.0,good,66.66666666666666
7659,1770322,1.0,good,66.66666666666666
7656,1770124,1.0,good,66.66666666666666
7655,1770087,1.0,good,66.66666666666666
7652,1769753,1.0,good,66.66666666666666
7650,1769555,1.0,good,66.66666666666666
7649,1769425,1.0,good,66.66666666666666
7648,1769302,1.0,good,66.66666666666666
7647,1769135,1.0,good,66.66666666666666
7644,1769067,1.0,good,66.66666666666666
7642,1768787,1.0,good,66.66666666666666
7681,1772029,1.0,good,66.66666666666666
7682,1772210,1.0,good,66.66666666666666
7683,1772333,1.0,good,66.66666666666666
7687,1772593,1.0,good,66.66666666666666
7750,1781830,1.0,good,66.66666666666666
7742,1780413,1.0,good,66.66666666666666
7737,1779820,1.0,good,66.66666666666666
7733,1779172,1.0,good,66.66666666666666
7731,1778915,1.0,good,66.66666666666666
7730,1778830,1.0,good,66.66666666666666
7729,1778595,1.0,good,66.66666666666666
7725,1778007,1.0,good,66.66666666666666
7723,1777796,1.0,good,66.66666666666666
7721,1777673,1.0,good,66.66666666666666
7717,1776782,1.0,good,66.66666666666666
7714,1776430,1.0,good,66.66666666666666
7712,1776270,1.0,good,66.66666666666666
7710,1775785,1.0,good,66.66666666666666
7706,1775235,1.0,good,66.66666666666666
7704,1775044,1.0,good,66.66666666666666
7697,1773767,1.0,good,66.66666666666666
7696,1773620,1.0,good,66.66666666666666
7690,1772937,1.0,good,66.66666666666666
7689,1772777,1.0,good,66.66666666666666
7688,1772678,1.0,good,66.66666666666666
7363,1746266,1.0,good,66.66666666666666
7352,1745146,1.0,good,66.66666666666666
6778,1693751,1.0,good,66.66666666666666
6970,1712919,1.0,good,66.66666666666666
6991,1714760,1.0,good,66.66666666666666
6990,1714739,1.0,good,66.66666666666666
6983,1714043,1.0,good,66.66666666666666
6980,1713527,1.0,good,66.66666666666666
6978,1713428,1.0,good,66.66666666666666
6976,1713299,1.0,good,66.66666666666666
6975,1713220,1.0,good,66.66666666666666
6973,1713084,1.0,good,66.66666666666666
6972,1713039,1.0,good,66.66666666666666
6971,1712964,1.0,good,66.66666666666666
6965,1712513,1.0,good,66.66666666666666
6933,1709643,1.0,good,66.66666666666666
6960,1712070,1.0,good,66.66666666666666
6959,1711905,1.0,good,66.66666666666666
6956,1711813,1.0,good,66.66666666666666
6955,1711776,1.0,good,66.66666666666666
6954,1711738,1.0,good,66.66666666666666
6946,1710984,1.0,good,66.66666666666666
6944,1710694,1.0,good,66.66666666666666
6937,1710151,1.0,good,66.66666666666666
6936,1710076,1.0,good,66.66666666666666
6935,1709872,1.0,good,66.66666666666666
6992,1714807,1.0,good,66.66666666666666
6994,1715057,1.0,good,66.66666666666666
6995,1715095,1.0,good,66.66666666666666
6999,1715491,1.0,good,66.66666666666666
7047,1719611,1.0,good,66.66666666666666
7046,1719543,1.0,good,66.66666666666666
7042,1719406,1.0,good,66.66666666666666
7041,1719291,1.0,good,66.66666666666666
7036,1718898,1.0,good,66.66666666666666
7034,1718720,1.0,good,66.66666666666666
7032,1718201,1.0,good,66.66666666666666
7031,1718065,1.0,good,66.66666666666666
7030,1717976,1.0,good,66.66666666666666
7028,1717754,1.0,good,66.66666666666666
7025,1717419,1.0,good,66.66666666666666
7023,1717327,1.0,good,66.66666666666666
7019,1717006,1.0,good,66.66666666666666
7017,1716832,1.0,good,66.66666666666666
7016,1716818,1.0,good,66.66666666666666
7014,1716559,1.0,good,66.66666666666666
7013,1716467,1.0,good,66.66666666666666
7012,1716412,1.0,good,66.66666666666666
7008,1716313,1.0,good,66.66666666666666
